brand,model_name,variant,price_inr,price_on_road_chennai,mileage_value,mileage_unit,tank_capacity_l,service_cost_per_year_avg,engine_cc_num,power_bhp,torque_nm,top_speed,ground_clearance_mm,boot_space_l,sunroof_yes,cruise_control_yes,adas_level_num,airbags_num,body_type,fuel_type,mileage,tank_capacity,service_cost_per_year,engine_cc,power,torque,transmission_type,drive_type,ground_clearance,seating_capacity,sunroof_moonroof,cruise_control,airbags,adas_levels,boot_space
Maruti Suzuki,Dzire,VXi AMT,865000,₹8.65 Lakh,25.71,kmpl,37.0,3750.0,1197.0,80.46,111.7,165 kmph,163.0,,0.0,1.0,0,6,Sedan,Petrol,25.71 kmpl,37 litres,"₹3,500 - ₹4,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed AMT (Automated Manual),FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (Not confirmed for India-spec),
Maruti Suzuki,Dzire,VXi CNG,937000,₹9.37 Lakh,33.73,km/kg,37.0,4150.0,1197.0,69.0,101.8,155 kmph,163.0,,0.0,1.0,0,6,Sedan,CNG,33.73 km/kg,37 litres,"₹3,800 - ₹4,500",1197 cc,69 bhp @ 5700 rpm,101.8 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (Not confirmed for India-spec),
Maruti Suzuki,Dzire,ZXi,927000,₹9.27 Lakh,24.79,kmpl,37.0,3750.0,1197.0,80.46,111.7,160 kmph,163.0,,0.0,1.0,0,6,Sedan,Petrol,24.79 kmpl,37 litres,"₹3,500 - ₹4,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (Not confirmed for India-spec),
Maruti Suzuki,Dzire,ZXi AMT,977000,₹9.77 Lakh,25.71,kmpl,37.0,3750.0,1197.0,80.46,111.7,165 kmph,163.0,,0.0,1.0,0,6,Sedan,Petrol,25.71 kmpl,37 litres,"₹3,500 - ₹4,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed AMT (Automated Manual),FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (Not confirmed for India-spec),
Maruti Suzuki,Dzire,ZXi Plus,999000,₹9.99 Lakh,24.79,kmpl,37.0,3750.0,1197.0,80.46,111.7,160 kmph,163.0,,1.0,1.0,0,6,Sedan,Petrol,24.79 kmpl,37 litres,"₹3,500 - ₹4,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,Yes (Electric Single-pane),Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (Not confirmed for India-spec; ADAS features anticipated for future updates),
Maruti Suzuki,Dzire,ZXi Plus AMT,1049000,₹10.49 Lakh,25.71,kmpl,37.0,3750.0,1197.0,80.46,111.7,165 kmph,163.0,,1.0,1.0,0,6,Sedan,Petrol,25.71 kmpl,37 litres,"₹3,500 - ₹4,000",1197 cc,80.46 bhp @ 5700 rpm,111.7 Nm @ 4300 rpm,5-Speed AMT (Automated Manual),FWD,163 mm,5,Yes (Electric Single-pane),Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (Not confirmed for India-spec; ADAS features anticipated for future updates),
Maruti Suzuki,Dzire,ZXi CNG,1039000,₹10.39 Lakh,33.73,km/kg,37.0,4150.0,1197.0,69.0,101.8,155 kmph,163.0,,0.0,1.0,0,6,Sedan,CNG,33.73 km/kg,37 litres,"₹3,800 - ₹4,500",1197 cc,69 bhp @ 5700 rpm,101.8 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,No,Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (Not confirmed for India-spec),
Maruti Suzuki,Dzire,ZXi Plus CNG,1089000,₹10.89 Lakh,33.73,km/kg,37.0,4150.0,1197.0,69.0,101.8,155 kmph,163.0,,1.0,1.0,0,6,Sedan,CNG,33.73 km/kg,37 litres,"₹3,800 - ₹4,500",1197 cc,69 bhp @ 5700 rpm,101.8 Nm @ 4300 rpm,5-Speed Manual,FWD,163 mm,5,Yes (Electric Single-pane),Yes,"6 (Driver, Passenger, Side Front, Side Rear, Curtain)",Not Available (Not confirmed for India-spec),
Maruti Suzuki,Fronx,Sigma Petrol MT,685000,₹6.85 Lakh,21.79,kmpl,37.0,4150.0,1197.0,82.0,113.0,175 kmph,200.0,,0.0,1.0,0,6,SUV,Petrol,21.79 kmpl,37 litres,"₹3,800 - ₹4,500",1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4400 rpm,5-Speed Manual,FWD,200 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Fronx,Sigma Turbo MT,795000,₹7.95 Lakh,20.01,kmpl,37.0,4150.0,998.0,98.69,147.6,180 kmph,200.0,,0.0,1.0,0,6,SUV,Petrol,20.01 kmpl,37 litres,"₹3,800 - ₹4,500",998 cc,98.69 bhp @ 5500 rpm,147.6 Nm @ 2000-4500 rpm,6-Speed Automatic,FWD,200 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Fronx,Delta Petrol MT,859000,₹8.59 Lakh,21.79,kmpl,37.0,4150.0,1197.0,82.0,113.0,175 kmph,200.0,,0.0,1.0,0,6,SUV,Petrol,21.79 kmpl,37 litres,"₹3,800 - ₹4,500",1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4400 rpm,5-Speed Manual,FWD,200 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Ertiga,LXi Petrol MT,880000,₹8.80 Lakh,20.51,kmpl,45.0,5500.0,1462.0,101.64,139.0,170 kmph,190.0,,0.0,1.0,0,6,MUV,Petrol,20.51 kmpl,45 litres,"₹5,000 - ₹6,000",1462 cc,101.64 bhp @ 6000 rpm,139 Nm @ 4300 rpm,5-Speed Manual,FWD,190 mm,7,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Ertiga,VXi Petrol MT,985000,₹9.85 Lakh,20.51,kmpl,45.0,5500.0,1462.0,101.64,139.0,170 kmph,190.0,,0.0,1.0,0,6,MUV,Petrol,20.51 kmpl,45 litres,"₹5,000 - ₹6,000",1462 cc,101.64 bhp @ 6000 rpm,139 Nm @ 4300 rpm,5-Speed Manual,FWD,190 mm,7,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Ertiga,ZXi Petrol MT,1091000,₹10.91 Lakh,20.51,kmpl,45.0,5500.0,1462.0,101.64,139.0,170 kmph,190.0,,0.0,1.0,0,6,MUV,Petrol,20.51 kmpl,45 litres,"₹5,000 - ₹6,000",1462 cc,101.64 bhp @ 6000 rpm,139 Nm @ 4300 rpm,5-Speed Manual,FWD,190 mm,7,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Baleno,Sigma Petrol MT,599000,₹5.99 Lakh,22.35,kmpl,37.0,5000.0,1197.0,88.5,113.0,180 kmph,180.0,,0.0,1.0,0,6,Hatchback,Petrol,22.35 kmpl,37 litres,"₹4,500 - ₹5,500",1197 cc,88.50 bhp @ 6000 rpm,113 Nm @ 4400 rpm,5-Speed Manual,FWD,180 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Baleno,Delta Petrol AT,685000,₹6.85 Lakh,22.94,kmpl,37.0,5000.0,1197.0,88.5,113.0,180 kmph,180.0,,0.0,1.0,0,6,Hatchback,Petrol,22.94 kmpl,37 litres,"₹4,500 - ₹5,500",1197 cc,88.50 bhp @ 6000 rpm,113 Nm @ 4400 rpm,5-Speed AMT,FWD,180 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Grand Vitara,Smart Hybrid AT,1050000,₹10.50 Lakh,27.97,kmpl,45.0,6000.0,1490.0,91.18,122.0,135 kmph,200.0,,0.0,1.0,0,6,SUV,Petrol (Hybrid),27.97 kmpl,45 litres,"₹5,500 - ₹6,500",1490 cc,91.18 bhp @ 5500 rpm,122 Nm @ 3800-4800 rpm,E-CVT,FWD,200 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Wagon R,LXi Petrol MT,499000,₹4.99 Lakh,23.56,kmpl,32.0,4000.0,998.0,67.0,89.0,150 kmph,170.0,,0.0,1.0,0,6,Hatchback,Petrol,23.56 kmpl,32 litres,"₹3,500 - ₹4,500",998 cc,67 bhp @ 5500 rpm,89 Nm @ 3500 rpm,5-Speed Manual,FWD,170 mm,5,No,Yes,6,Not Available,
Maruti Suzuki,Wagon R,VXi Petrol AT,587000,₹5.87 Lakh,25.19,kmpl,32.0,4000.0,998.0,67.0,89.0,150 kmph,170.0,,0.0,1.0,0,6,Hatchback,Petrol,25.19 kmpl,32 litres,"₹3,500 - ₹4,500",998 cc,67 bhp @ 5500 rpm,89 Nm @ 3500 rpm,5-Speed AMT,FWD,170 mm,5,No,Yes,6,Not Available,
Maruti Suzuki,Brezza,LXi Petrol MT,826000,₹8.26 Lakh,19.8,kmpl,48.0,5000.0,1462.0,101.64,136.8,159 kmph,198.0,,0.0,1.0,0,6,SUV,Petrol,19.8 kmpl,48 litres,"₹4,500 - ₹5,500",1462 cc,101.64 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,5-Speed Manual,FWD,198 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Brezza,VXi Petrol AT,968000,₹9.68 Lakh,19.8,kmpl,48.0,5000.0,1462.0,101.64,136.8,159 kmph,198.0,,0.0,1.0,0,6,SUV,Petrol,19.8 kmpl,48 litres,"₹4,500 - ₹5,500",1462 cc,101.64 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,6-Speed Automatic,FWD,198 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Alto K10,Std Petrol MT,370000,₹3.70 Lakh,24.39,kmpl,27.0,3400.0,998.0,65.71,89.0,145 kmph,160.0,,0.0,0.0,0,2,Hatchback,Petrol,24.39 kmpl,27 litres,"₹3,000 - ₹3,800",998 cc,65.71 bhp @ 5500 rpm,89 Nm @ 3500 rpm,5-Speed Manual,FWD,160 mm,5,No,No,2 (Dual Front),Not Available,
Maruti Suzuki,Alto K10,VXi Petrol AGS,495000,₹4.95 Lakh,24.9,kmpl,27.0,3400.0,998.0,65.71,89.0,145 kmph,160.0,,0.0,0.0,0,2,Hatchback,Petrol,24.9 kmpl,27 litres,"₹3,000 - ₹3,800",998 cc,65.71 bhp @ 5500 rpm,89 Nm @ 3500 rpm,5-Speed AMT,FWD,160 mm,5,No,No,2 (Dual Front),Not Available,
Maruti Suzuki,S-Presso,Std Petrol MT,350000,₹3.50 Lakh,24.12,kmpl,27.0,3400.0,998.0,65.71,89.0,145 kmph,170.0,,0.0,0.0,0,2,Hatchback,Petrol,24.12 kmpl,27 litres,"₹3,000 - ₹3,800",998 cc,65.71 bhp @ 5500 rpm,89 Nm @ 3500 rpm,5-Speed Manual,FWD,170 mm,5,No,No,2 (Dual Front),Not Available,
Maruti Suzuki,S-Presso,VXi Petrol AMT,475000,₹4.75 Lakh,25.3,kmpl,27.0,3400.0,998.0,65.71,89.0,145 kmph,170.0,,0.0,0.0,0,2,Hatchback,Petrol,25.3 kmpl,27 litres,"₹3,000 - ₹3,800",998 cc,65.71 bhp @ 5500 rpm,89 Nm @ 3500 rpm,5-Speed AMT,FWD,170 mm,5,No,No,2 (Dual Front),Not Available,
Maruti Suzuki,Celerio,LXi Petrol MT,470000,₹4.70 Lakh,25.24,kmpl,32.0,3600.0,998.0,67.77,91.1,155 kmph,165.0,,0.0,0.0,0,2,Hatchback,Petrol,25.24 kmpl,32 litres,"₹3,200 - ₹4,000",998 cc,67.77 bhp @ 5600 rpm,91.1 Nm @ 3400 rpm,5-Speed Manual,FWD,165 mm,5,No,No,2 (Dual Front),Not Available,
Maruti Suzuki,Celerio,VXi Petrol AMT,555000,₹5.55 Lakh,26.0,kmpl,32.0,3600.0,998.0,67.77,91.1,155 kmph,165.0,,0.0,0.0,0,2,Hatchback,Petrol,26 kmpl,32 litres,"₹3,200 - ₹4,000",998 cc,67.77 bhp @ 5600 rpm,91.1 Nm @ 3400 rpm,5-Speed AMT,FWD,165 mm,5,No,No,2 (Dual Front),Not Available,
Maruti Suzuki,XL6,Zeta Petrol MT,1152000,₹11.52 Lakh,20.97,kmpl,45.0,5500.0,1462.0,101.64,136.8,170 kmph,190.0,,0.0,1.0,0,4,MUV,Petrol,20.97 kmpl,45 litres,"₹5,000 - ₹6,000",1462 cc,101.64 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,5-Speed Manual,FWD,190 mm,6,No,Yes,"4 (Dual Front, Side Front)",Not Available,
Maruti Suzuki,XL6,Zeta Petrol AT,1278000,₹12.78 Lakh,20.27,kmpl,45.0,5500.0,1462.0,101.64,136.8,170 kmph,190.0,,0.0,1.0,0,4,MUV,Petrol,20.27 kmpl,45 litres,"₹5,000 - ₹6,000",1462 cc,101.64 bhp @ 6000 rpm,136.8 Nm @ 4400 rpm,6-Speed Automatic,FWD,190 mm,6,No,Yes,"4 (Dual Front, Side Front)",Not Available,
Maruti Suzuki,Jimny,Zeta Petrol MT,1231000,₹12.31 Lakh,16.94,kmpl,40.0,6000.0,1462.0,103.0,134.2,155 kmph,210.0,,0.0,1.0,0,6,SUV,Petrol,16.94 kmpl,40 litres,"₹5,500 - ₹6,500",1462 cc,103 bhp @ 6000 rpm,134.2 Nm @ 4000 rpm,5-Speed Manual,4WD,210 mm,4,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Jimny,Alpha Petrol AT,1445000,₹14.45 Lakh,16.39,kmpl,40.0,6000.0,1462.0,103.0,134.2,155 kmph,210.0,,0.0,1.0,0,6,SUV,Petrol,16.39 kmpl,40 litres,"₹5,500 - ₹6,500",1462 cc,103 bhp @ 6000 rpm,134.2 Nm @ 4000 rpm,4-Speed Automatic,4WD,210 mm,4,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Maruti Suzuki,Ignis,Sigma Petrol MT,535000,₹5.35 Lakh,20.89,kmpl,32.0,3850.0,1197.0,81.8,113.0,165 kmph,180.0,,0.0,0.0,0,2,Hatchback,Petrol,20.89 kmpl,32 litres,"₹3,500 - ₹4,200",1197 cc,81.80 bhp @ 6000 rpm,113 Nm @ 4200 rpm,5-Speed Manual,FWD,180 mm,5,No,No,2 (Dual Front),Not Available,
Maruti Suzuki,Ignis,Delta Petrol AMT,650000,₹6.50 Lakh,20.89,kmpl,32.0,3850.0,1197.0,81.8,113.0,165 kmph,180.0,,0.0,0.0,0,2,Hatchback,Petrol,20.89 kmpl,32 litres,"₹3,500 - ₹4,200",1197 cc,81.80 bhp @ 6000 rpm,113 Nm @ 4200 rpm,5-Speed AMT,FWD,180 mm,5,No,No,2 (Dual Front),Not Available,
Tata,Nexon,Smart Petrol MT,874000,₹8.74 Lakh,17.44,kmpl,44.0,7250.0,1199.0,110.0,170.0,180 kmph,208.0,,1.0,1.0,1,6,SUV,Petrol,17.44 kmpl,44 litres,"₹6,500 - ₹8,000",1199 cc,110 bhp @ 5500 rpm,170 Nm @ 2000-4000 rpm,5-Speed Manual,FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Level 1 ADAS (on select variants),
Tata,Nexon,Smart Petrol DCA (ADAS),1025000,₹10.25 Lakh,17.18,kmpl,44.0,7250.0,1199.0,110.0,170.0,180 kmph,208.0,,1.0,1.0,1,6,SUV,Petrol,17.18 kmpl,44 litres,"₹6,500 - ₹8,000",1199 cc,110 bhp @ 5500 rpm,170 Nm @ 2000-4000 rpm,7-Speed DCT,FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)","Level 1 ADAS (Adaptive Cruise Control, Lane Departure Warning)",
Tata,Nexon,Smart Diesel MT,1074000,₹10.74 Lakh,23.23,kmpl,44.0,7750.0,1497.0,113.0,260.0,180 kmph,208.0,,0.0,1.0,0,6,SUV,Diesel,23.23 kmpl,44 litres,"₹7,000 - ₹8,500",1497 cc,113 bhp @ 3750 rpm,260 Nm @ 1500-2750 rpm,6-Speed Manual,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Nexon,Smart Diesel AMT,1135000,₹11.35 Lakh,24.08,kmpl,44.0,7750.0,1497.0,113.0,260.0,180 kmph,208.0,,0.0,1.0,0,6,SUV,Diesel,24.08 kmpl,44 litres,"₹7,000 - ₹8,500",1497 cc,113 bhp @ 3750 rpm,260 Nm @ 1500-2750 rpm,6-Speed Automatic,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Nexon,Pure Diesel AMT,1048000,₹10.48 Lakh,24.08,kmpl,44.0,7750.0,1497.0,113.0,260.0,180 kmph,208.0,,0.0,1.0,0,6,SUV,Diesel,24.08 kmpl,44 litres,"₹7,000 - ₹8,500",1497 cc,113 bhp @ 3750 rpm,260 Nm @ 1500-2750 rpm,6-Speed Automatic,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Nexon,Smart CNG MT,984000,₹9.84 Lakh,17.44,km/kg,44.0,7250.0,1199.0,98.0,150.0,170 kmph,208.0,,0.0,1.0,0,6,SUV,CNG,17.44 km/kg,44 litres,"₹6,500 - ₹8,000",1199 cc,98 bhp @ 5000 rpm,150 Nm @ 1800-3000 rpm,6-Speed Manual,FWD,208 mm,5,No,Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Nexon,Fearless Plus Petrol MT,1549000,₹15.49 Lakh,17.44,kmpl,44.0,7250.0,1199.0,110.0,170.0,180 kmph,208.0,,1.0,1.0,0,6,SUV,Petrol,17.44 kmpl,44 litres,"₹6,500 - ₹8,000",1199 cc,110 bhp @ 5500 rpm,170 Nm @ 2000-4000 rpm,5-Speed Manual,FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Nexon,Fearless Plus Diesel AMT,1758000,₹17.58 Lakh,24.08,kmpl,44.0,7750.0,1497.0,113.0,260.0,180 kmph,208.0,,1.0,1.0,0,6,SUV,Diesel,24.08 kmpl,44 litres,"₹7,000 - ₹8,500",1497 cc,113 bhp @ 3750 rpm,260 Nm @ 1500-2750 rpm,6-Speed Automatic,FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Not Available,
Tata,Punch,Pure Petrol MT,663000,₹6.63 Lakh,18.82,kmpl,37.0,5000.0,1199.0,86.0,113.0,160 kmph,187.0,,0.0,1.0,0,2,SUV,Petrol,18.82 kmpl,37 litres,"₹4,500 - ₹5,500",1199 cc,86 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed Manual,FWD,187 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Punch,Adventure Petrol MT,786000,₹7.86 Lakh,18.82,kmpl,37.0,5000.0,1199.0,86.0,113.0,160 kmph,187.0,,1.0,1.0,0,2,SUV,Petrol,18.82 kmpl,37 litres,"₹4,500 - ₹5,500",1199 cc,86 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed Manual,FWD,187 mm,5,Yes (Single Pane),Yes,2 (Dual Front),Not Available,
Tata,Punch,Creative Petrol MT,824000,₹8.24 Lakh,18.82,kmpl,37.0,5000.0,1199.0,86.0,113.0,160 kmph,187.0,,1.0,1.0,0,2,SUV,Petrol,18.82 kmpl,37 litres,"₹4,500 - ₹5,500",1199 cc,86 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed Manual,FWD,187 mm,5,Yes (Single Pane),Yes,2 (Dual Front),Not Available,
Tata,Punch,Creative Petrol AMT,909000,₹9.09 Lakh,18.8,kmpl,37.0,5000.0,1199.0,86.0,113.0,160 kmph,187.0,,1.0,1.0,0,2,SUV,Petrol,18.8 kmpl,37 litres,"₹4,500 - ₹5,500",1199 cc,86 bhp @ 6000 rpm,113 Nm @ 3250 rpm,5-Speed AMT,FWD,187 mm,5,Yes (Single Pane),Yes,2 (Dual Front),Not Available,
Tata,Punch,Pure CNG MT,800000,₹8.00 Lakh,26.99,km/kg,60.0,5000.0,1199.0,72.0,103.0,150 kmph,187.0,,0.0,1.0,0,2,SUV,CNG,26.99 km/kg,60 litres,"₹4,500 - ₹5,500",1199 cc,72 bhp @ 6000 rpm,103 Nm @ 3250 rpm,6-Speed Manual,FWD,187 mm,5,No,Yes,2 (Dual Front),Not Available,
Tata,Punch,Accomplished CNG MT,925000,₹9.25 Lakh,26.99,km/kg,60.0,5000.0,1199.0,72.0,103.0,150 kmph,187.0,,1.0,1.0,0,2,SUV,CNG,26.99 km/kg,60 litres,"₹4,500 - ₹5,500",1199 cc,72 bhp @ 6000 rpm,103 Nm @ 3250 rpm,6-Speed Manual,FWD,187 mm,5,Yes (Single Pane),Yes,2 (Dual Front),Not Available,
Tata,Punch,Accomplished Plus CNG Dual Tone,1109000,₹11.09 Lakh,26.99,km/kg,60.0,5000.0,1199.0,72.0,103.0,150 kmph,187.0,,1.0,1.0,0,2,SUV,CNG,26.99 km/kg,60 litres,"₹4,500 - ₹5,500",1199 cc,72 bhp @ 6000 rpm,103 Nm @ 3250 rpm,6-Speed Manual,FWD,187 mm,5,Yes (Single Pane),Yes,2 (Dual Front),Not Available,
Tata,Nexon,Smart Petrol MT,874000,₹8.74 Lakh,17.44,kmpl,44.0,7250.0,1199.0,110.0,170.0,180 kmph,208.0,,1.0,1.0,1,6,SUV,Petrol,17.44 kmpl,44 litres,"₹6,500 - ₹8,000",1199 cc,110 bhp @ 5500 rpm,170 Nm @ 2000-4000 rpm,5-Speed Manual,FWD,208 mm,5,Yes (Panoramic),Yes,"6 (Dual Front, Side Front, Curtain)",Level 1 ADAS (on select variants),
